title,Instructor Training Day 2
time,12:00
header,Extra header above table
45,More Practice Live Coding ,-,https://carpentries.github.io/instructor-training/instructor/20-performance.html
30,Working With Your Team ,-,https://carpentries.github.io/instructor-training/instructor/21-management.html
5,BREAK,-,https://carpentries.github.io/instructor-training/instructor/22-coffee.html
40,Working With Your Team ,-,-
15,BREAK,-,-
40,Launches and Landings ,-,https://carpentries.github.io/instructor-training/instructor/24-practices.html
5,BREAK,-,-
20,Putting It Together ,-,https://carpentries.github.io/instructor-training/instructor/24-practices.html
10,Wrapping Up ,-,https://carpentries.github.io/instructor-training/instructor/25-wrap-up.html
